rivanildo,	84992528
camila,		92732522
marina,		95322528
tito,		88428394
janice,		88991528
gabriel,	98984948
cassio,		90994048
pedro,		98748498
felipe,		88984940
juliana,	98494048
joao,		88492088
david,		88849408
roberto,	88848498
vincente,	88999200
jana,		88949420
jaqueline,	88998948
marcia,		88747488
juci,		89494528
caio,		94040828
clara,		89289928
carolina,	94849528
ines,		89492528
maria,		83932528
flor,		88398298
alice,		87283948
leonardo,	98183818
marcelo,	93864788
adenor,		93743238
thito,		92842382
suzana,		93747298
carlos,		89248528
cosme,		92387462
damiao,		88983898
alexandre,	88290328
marcus,		88276473
marcos,		88939383
luis,		82343528
luke,		92345228
raj,		88324528
tobby,		88435348
william,	85345328
charles,	88923428
fernando,	81553228
noronha,	82135428
chapolin,	82345678
